Jurisdiction,Sub-Jurisdiction,Topical Area,Supplemental Act Name,Award Name,Amount
New Mexico,,Infection Prevention and Control,American Rescue Plan Act of 2021,ELC State-based Nursing Home and Long Term Care Strike Teams,2843201
Indiana,,Vaccine Preparedness,"Coronavirus Aid, Relief, and Economic Security Act",COVID-19 Vaccine Preparedness,2317387
Pennsylvania,,Epi and Lab Capacity,American Rescue Plan Act of 2021,ELC National Wastewater Surveillance System (NWSS),1096937
North Dakota,,Emergency Response,"Coronavirus Preparedness and Response Supplemental Appropriations Act, 2020",Crisis CoAg Award #1,0
Virgin Islands,,Vaccine Preparedness,American Rescue Plan Act of 2021,COVID-19 Vaccine Preparedness/3,1513992
South Dakota,,Vaccine Preparedness,American Rescue Plan Act of 2021,COVID-19 Vaccine Preparedness,649484
Palau,,Epi and Lab Capacity,"Coronavirus Aid, Relief, and Economic Security Act",ELC Epi & Lab Capacity Reopen America,374215
Illinois,Chicago,School Testing,American Rescue Plan Act of 2021,ELC Epi & Lab Capacity for School Testing,81141237
Wisconsin,,Epi and Lab Capacity,American Rescue Plan Act of 2021,ELC Epi & Lab Capacity for Genomic Sequencing,4098728
Hawaii,,Vaccine Preparedness,American Rescue Plan Act of 2021,COVID-19 Vaccine Preparedness Adjustment/2,13886764
Maine,,Vaccine Preparedness,"Coronavirus Aid, Relief, and Economic Security Act",COVID-19 Vaccine Preparedness,509532
Maryland,,Vaccine Preparedness,American Rescue Plan Act of 2021,COVID-19 Vaccine Preparedness,4438515
West Virginia,,Data Modernization,"Coronavirus Aid, Relief, and Economic Security Act",ELC Accelerating Data Modernization in Jurisdictions,3230602
Nebraska,,Epi and Lab Capacity,American Rescue Plan Act of 2021,ELC Public Health Laboratory Preparedness,142473
Georgia,,Epi and Lab Capacity,"Coronavirus Aid, Relief, and Economic Security Act",ELC Epi & Lab Capacity Reopen America,16429205
South Dakota,,Vaccine Preparedness,"Coronavirus Response and Relief Supplemental Appropriations Act, 2021",COVID-19 Vaccine Preparedness/2,7993649
South Carolina,,Vaccine Preparedness,American Rescue Plan Act of 2021,COVID-19 Vaccine Preparedness/3,47187040
West Virginia,,Vaccine Preparedness,"Coronavirus Aid, Relief, and Economic Security Act",COVID-19 Vaccine Preparedness,908926
Guam,,All Other,"Coronavirus Aid, Relief, and Economic Security Act",All Other STLT Awards,55177
Nevada,,Vaccine Preparedness,"Coronavirus Aid, Relief, and Economic Security Act",Influenza Season Early Preparedness,1279710
Pennsylvania,Philadelphia,All Other,"Coronavirus Aid, Relief, and Economic Security Act",All Other STLT Awards,440909
Mississippi,,Epi and Lab Capacity,"Coronavirus Response and Relief Supplemental Appropriations Act, 2021",ELC Epi & Lab Capacity for HHS,171302324
Minnesota,,School Testing,American Rescue Plan Act of 2021,ELC Epi & Lab Capacity for School Testing,169862951
Wisconsin,,All Other,"Coronavirus Aid, Relief, and Economic Security Act",All Other STLT Awards,239539
Kentucky,,Vaccine Preparedness,American Rescue Plan Act of 2021,COVID-19 Vaccine Preparedness/3,40369236
Iowa,,Epi and Lab Capacity,American Rescue Plan Act of 2021,ELC Public Health Laboratory Preparedness,142473
Nevada,,Infection Prevention and Control,American Rescue Plan Act of 2021,ELC State-based Nursing Home and Long Term Care Strike Teams,3048448
Wisconsin,,Addressing Health Disparities,"Coronavirus Aid, Relief, and Economic Security Act",Community Health Workers for COVID Response and Resilient Communities (CCR) - Technical Assistance and Evaluation,5080000
North Carolina,,Infection Prevention and Control,American Rescue Plan Act of 2021,ELC Strengthening Healthcare Associated Infections and Antibiotic Resistance Programs,10115758
Idaho,,Public Health Workforce,American Rescue Plan Act of 2021,DIS Workforce,5000000
Montana,,Public Health Workforce,American Rescue Plan Act of 2021,Crisis CoAg Workforce,7250870
New Jersey,,Emergency Response,"Coronavirus Preparedness and Response Supplemental Appropriations Act, 2020",Crisis CoAg Award #2,13860160
Palau,,Epi and Lab Capacity,"Coronavirus Preparedness and Response Supplemental Appropriations Act, 2020",ELC Infection Control Training,10000
New York,,Vaccine Preparedness,"Coronavirus Response and Relief Supplemental Appropriations Act, 2021",COVID-19 Vaccine Preparedness/2,100449264
Wisconsin,,Epi and Lab Capacity,"Coronavirus Response and Relief Supplemental Appropriations Act, 2021",ELC Epi & Lab Capacity for HHS,335129886
Virginia,,Emergency Response,"Coronavirus Preparedness and Response Supplemental Appropriations Act, 2020",Crisis CoAg Award #2,13371612
New Mexico,Dona Ana County,Addressing Health Disparities,"Coronavirus Aid, Relief, and Economic Security Act/5",Community Health Workers for COVID Response and Resilient Communities (CCR),1291180
Iowa,,Public Health Workforce,American Rescue Plan Act of 2021/6,"Strengthening U.S. Public Health Infrastructure, Workforce, and Data Systems",28221831
Georgia,,Epi and Lab Capacity,American Rescue Plan Act of 2021,ELC National Wastewater Surveillance System (NWSS),1610915
Puerto Rico,,Epi and Lab Capacity,Paycheck Protection Program and Health Care Enhancement Act,ELC Epi & Lab Capacity for HHS,68654541
Texas,Houston,All Other,"Coronavirus Preparedness and Response Supplemental Appropriations Act, 2020",Emerging Infections Program Award,0
Maine,,Epi and Lab Capacity,Paycheck Protection Program and Health Care Enhancement Act,ELC Epi & Lab Capacity,846000
Connecticut,,Epi and Lab Capacity,"Coronavirus Preparedness and Response Supplemental Appropriations Act, 2020",ELC Epi & Lab Capacity,500000
Oregon,Lane County,Addressing Health Disparities,"Coronavirus Aid, Relief, and Economic Security Act/5",Community Health Workers for COVID Response and Resilient Communities (CCR),1755462
Michigan,,Vaccine Preparedness,"Coronavirus Aid, Relief, and Economic Security Act",Influenza Season Early Preparedness,4121352
South Carolina,,Vaccine Preparedness,"Coronavirus Aid, Relief, and Economic Security Act",COVID-19 Vaccine Preparedness,2366553
Micronesia,,Addressing Health Disparities,"Coronavirus Response and Relief Supplemental Appropriations Act, 2021","National Initiative to Address COVID-19 Health Disparities Among Populations at High-Risk and Underserved, Including Racial and Ethnic Minority Populations and Rural Communities",694558
Colorado,,Vaccine Preparedness,"Coronavirus Aid, Relief, and Economic Security Act",COVID-19 Vaccine Preparedness,2215322
California,,Epi and Lab Capacity,American Rescue Plan Act of 2021,ELC Detection & Mitigation of COVID-19 in Confinement Facilities,66150000
Missouri,,Vaccine Preparedness,"Coronavirus Aid, Relief, and Economic Security Act",COVID-19 Vaccine Preparedness,2271882
North Carolina,,Epi and Lab Capacity,American Rescue Plan Act of 2021,ELC Detection & Mitigation of COVID-19 Among People Experiencing Homelessness,1439232
New York,Schenectady County,Addressing Health Disparities,"Coronavirus Aid, Relief, and Economic Security Act/5",Community Health Workers for COVID Response and Resilient Communities (CCR),1199554
Wyoming,,Vaccine Preparedness,American Rescue Plan Act of 2021,COVID-19 Vaccine Preparedness/3,13688369
New York,New York City,Emergency Response,"Coronavirus Preparedness and Response Supplemental Appropriations Act, 2020",Crisis CoAg Award #2,16911778
Texas,San Antonio,Emergency Response,"Coronavirus Preparedness and Response Supplemental Appropriations Act, 2020",Crisis CoAg Award #3,0
Hawaii,,Public Health Workforce,American Rescue Plan Act of 2021,DIS Workforce,5000000
Oregon,,Epi and Lab Capacity,"Coronavirus Aid, Relief, and Economic Security Act",ELC Epi & Lab Capacity Reopen America,8109807
Kansas,,Epi and Lab Capacity,Paycheck Protection Program and Health Care Enhancement Act,ELC Epi & Lab Capacity for HHS,81278558
Illinois,Chicago,Epi and Lab Capacity,American Rescue Plan Act of 2021,ELC Public Health Laboratory Preparedness,142473
Iowa,,Vaccine Preparedness,"Coronavirus Aid, Relief, and Economic Security Act",COVID-19 Vaccine Preparedness,1060853
Missouri,,Epi and Lab Capacity,American Rescue Plan Act of 2021,ELC Detection & Mitigation of COVID-19 Among People Experiencing Homelessness,1439232
New Hampshire,,Vaccine Preparedness,American Rescue Plan Act of 2021,COVID-19 Vaccine Preparedness Adjustment/2,12748714
Oklahoma,Tulsa,Addressing Health Disparities,"Coronavirus Response and Relief Supplemental Appropriations Act, 2021","National Initiative to Address COVID-19 Health Disparities Among Populations at High-Risk and Underserved, Including Racial and Ethnic Minority Populations and Rural Communities",5975146
Tribal Awards,Red Cliff Band of Lake Superior Chippewa,Addressing Health Disparities,"Coronavirus Aid, Relief, and Economic Security Act/5",Community Health Workers for COVID Response and Resilient Communities (CCR),700000
Marshall Islands,,Epi and Lab Capacity,Paycheck Protection Program and Health Care Enhancement Act,ELC Epi & Lab Capacity for HHS,3883209
Washington,,All Other,"Coronavirus Response and Relief Supplemental Appropriations Act, 2021",All Other STLT Awards,629640
Montana,,Emergency Response,"Coronavirus Preparedness and Response Supplemental Appropriations Act, 2020",Crisis CoAg Award #1,0
Virginia,,Epi and Lab Capacity,"Coronavirus Preparedness and Response Supplemental Appropriations Act, 2020",ELC Infection Control Training,1593604
Rhode Island,,Addressing Health Disparities,"Coronavirus Aid, Relief, and Economic Security Act/5",Community Health Workers for COVID Response and Resilient Communities (CCR),10000000
Virginia,,Vaccine Preparedness,American Rescue Plan Act of 2021,COVID-19 Vaccine Preparedness/3,77125694
New Jersey,,Epi and Lab Capacity,American Rescue Plan Act of 2021,ELC National Wastewater Surveillance System (NWSS),868017
Tennessee,,Public Health Workforce,American Rescue Plan Act of 2021,Crisis CoAg Workforce,40941205
Rhode Island,,Epi and Lab Capacity,Paycheck Protection Program and Health Care Enhancement Act,ELC Epi & Lab Capacity,854000
New Jersey,,Epi and Lab Capacity,American Rescue Plan Act of 2021,ELC Detection & Mitigation of COVID-19 in Confinement Facilities,9940000
Connecticut,,Vaccine Preparedness,"Coronavirus Aid, Relief, and Economic Security Act",COVID-19 Vaccine Preparedness,2423261
Indiana,,Epi and Lab Capacity,American Rescue Plan Act of 2021,ELC Epi & Lab Capacity for Genomic Sequencing,4598546
Massachusetts,,Vaccine Preparedness,"Coronavirus Response and Relief Supplemental Appropriations Act, 2021",COVID-19 Vaccine Preparedness/2,62279643
Ohio,,Public Health Workforce,American Rescue Plan Act of 2021/6,"Strengthening U.S. Public Health Infrastructure, Workforce, and Data Systems",93323248
Minnesota,Minneapolis,Addressing Health Disparities,"Coronavirus Response and Relief Supplemental Appropriations Act, 2021","National Initiative to Address COVID-19 Health Disparities Among Populations at High-Risk and Underserved, Including Racial and Ethnic Minority Populations and Rural Communities",4292679
Texas,,Public Health Workforce,American Rescue Plan Act of 2021,DIS Workforce,93407615
South Carolina,,Epi and Lab Capacity,"Coronavirus Response and Relief Supplemental Appropriations Act, 2021",ELC Epi & Lab Capacity for HHS,296351652
Arkansas,,All Other,"Coronavirus Preparedness and Response Supplemental Appropriations Act, 2020",Emerging Infections Program Award,0
Illinois,,Infection Prevention and Control,American Rescue Plan Act of 2021,ELC Strengthening Healthcare Associated Infections and Antibiotic Resistance Programs,11111350
New York,New York City,Epi and Lab Capacity,American Rescue Plan Act of 2021,ELC Detection & Mitigation of COVID-19 Among People Experiencing Homelessness,4497600
New York,,All Other,"Coronavirus Aid, Relief, and Economic Security Act",Emerging Infections Program Award,560000
Montana,Yellowstone County,Addressing Health Disparities,"Coronavirus Aid, Relief, and Economic Security Act/5",Community Health Workers for COVID Response and Resilient Communities (CCR),1190858
Mississippi,,Vaccine Preparedness,American Rescue Plan Act of 2021,COVID-19 Vaccine Preparedness Adjustment/2,5994053
Missouri,,Emergency Response,"Coronavirus Preparedness and Response Supplemental Appropriations Act, 2020",Crisis CoAg Award #3,3861290
Texas,,Epi and Lab Capacity,"Coronavirus Preparedness and Response Supplemental Appropriations Act, 2020",ELC Infection Control Training,3698466
New Hampshire,,Epi and Lab Capacity,American Rescue Plan Act of 2021,ELC Public Health Laboratory Preparedness,142473
Tennessee,,Vaccine Preparedness,American Rescue Plan Act of 2021,COVID-19 Vaccine Preparedness/3,61707412
Kansas,,All Other,"Coronavirus Aid, Relief, and Economic Security Act",All Other STLT Awards,513253
Michigan,,Epi and Lab Capacity,"Coronavirus Preparedness and Response Supplemental Appropriations Act, 2020",ELC Infection Control Training,1786310
Florida,Duval County,Addressing Health Disparities,"Coronavirus Response and Relief Supplemental Appropriations Act, 2021","National Initiative to Address COVID-19 Health Disparities Among Populations at High-Risk and Underserved, Including Racial and Ethnic Minority Populations and Rural Communities",6549091
Ohio,Columbus,Addressing Health Disparities,"Coronavirus Response and Relief Supplemental Appropriations Act, 2021","National Initiative to Address COVID-19 Health Disparities Among Populations at High-Risk and Underserved, Including Racial and Ethnic Minority Populations and Rural Communities",3396978
Alabama,,School Testing,American Rescue Plan Act of 2021,ELC Epi & Lab Capacity for School Testing,147681528
Oregon,,Vaccine Preparedness,American Rescue Plan Act of 2021,COVID-19 Vaccine Preparedness/3,38627576
North Carolina,,Emergency Response,"Coronavirus Preparedness and Response Supplemental Appropriations Act, 2020",Crisis CoAg Award #1,0
Missouri,,Public Health Workforce,American Rescue Plan Act of 2021,DIS Workforce,16107120
California,Los Angeles County,Epi and Lab Capacity,"Coronavirus Aid, Relief, and Economic Security Act",ELC Epi & Lab Capacity Reopen America,20235667
